Log,Question,Mode,Correlation,P-Value,significance
Accepted_or_Rejected__Word_length,I think the robot was a good student,Delta_Social,0.4266785757405448,0.08763325569864447,-
Accepted_or_Rejected__Word_length,I think the robot was a good student,Delta_Task,0.23424289174958693,0.349494854647428,-
Accepted_or_Rejected__Word_length,I think the robot was a good student,Social,0.35070440332133024,0.16753778012469894,-
Accepted_or_Rejected__Word_length,I think the robot was a good student,Task,0.09417718476029698,0.7101140436647984,-
Accepted_or_Rejected__Word_length,I think the robot was nice,Baseline,,,-
Accepted_or_Rejected__Word_length,I think the robot was nice,"Delta Logs, Delta_Social",,,-
Accepted_or_Rejected__Word_length,I think the robot was nice,"Delta Logs, Delta_Task",-0.5450734182390665,0.01931814063499196,*
Accepted_or_Rejected__Word_length,I think the robot was nice,Delta_Social,,,-
Accepted_or_Rejected__Word_length,I think the robot was nice,Delta_Task,-0.03412011137808224,0.8930821588419604,-
Accepted_or_Rejected__Word_length,I think the robot was nice,Social,,,-
Accepted_or_Rejected__Word_length,I think the robot was nice,Task,-0.03412011137808224,0.8930821588419604,-
Accepted_or_Rejected__Word_length,I think the robot was serious,Baseline,-0.020640166631551635,0.9063160002939422,-
Accepted_or_Rejected__Word_length,I think the robot was serious,"Delta Logs, Delta_Social",0.755177158470119,0.0004568359367853651,***
Accepted_or_Rejected__Word_length,I think the robot was serious,"Delta Logs, Delta_Task",0.2256259098471461,0.3680060695716735,-
Accepted_or_Rejected__Word_length,I think the robot was serious,Delta_Social,0.5652957616187072,0.01804094475437867,*
Accepted_or_Rejected__Word_length,I think the robot was serious,Delta_Task,0.2889542974703723,0.24485536315611747,-
Accepted_or_Rejected__Word_length,I think the robot was serious,Social,0.30544808295609543,0.2331730856768443,-
Accepted_or_Rejected__Word_length,I think the robot was serious,Task,0.343301044204908,0.16308825031156668,-
Accepted_or_Rejected__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Baseline,0.38515632374879016,0.02232401945605898,*
Accepted_or_Rejected__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Social",0.4524020824264332,0.06825158149490297,-
Accepted_or_Rejected__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,"Delta Logs, Delta_Task",0.3457242184802768,0.15994406028657776,-
Accepted_or_Rejected__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Social,0.4274186838446749,0.08702558870005271,-
Accepted_or_Rejected__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Delta_Task,0.19404071532883932,0.4403985875664501,-
Accepted_or_Rejected__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Social,0.6621510242466639,0.0037814880198884697,**
Accepted_or_Rejected__Word_length,I was concentrated when doing the activity with Blueberry and a group of friends,Task,0.15649488419215785,0.5351750627618443,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with Blueberry,Baseline,-0.07338981863424565,0.6752325193497588,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Social",-0.4112836355311519,0.10097787446923326,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with Blueberry,"Delta Logs, Delta_Task",-0.12869789041755736,0.6107910263355334,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with Blueberry,Delta_Social,-0.17993659054487895,0.4895272311063714,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with Blueberry,Delta_Task,-0.16112274817427727,0.5230148585545116,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with Blueberry,Social,,,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with Blueberry,Task,0.16412762703128408,0.5151884713600483,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with a group of friends,Baseline,0.06806168286185789,0.6976564821873665,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Social",0.05290092118939486,0.8401962805716311,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with a group of friends,"Delta Logs, Delta_Task",0.09557710979539187,0.7059851530096879,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with a group of friends,Delta_Social,-0.17633640396464953,0.498399715819383,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with a group of friends,Delta_Task,-0.1099425811071539,0.6640845835510871,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with a group of friends,Social,0.10282090888278797,0.694545868371871,-
Accepted_or_Rejected__Word_length,I would like to redo this activity with a group of friends,Task,0.1099425811071539,0.6640845835510871,-
Accepted_or_Rejected__Word_length,I wrote well on the tablet,Baseline,0.322036408281746,0.05921294081450852,-
Accepted_or_Rejected__Word_length,I wrote well on the tablet,"Delta Logs, Delta_Social",0.3958308468483429,0.11576994495083978,-
Accepted_or_Rejected__Word_length,I wrote well on the tablet,"Delta Logs, Delta_Task",-0.30579841134787233,0.21717314549804967,-
Accepted_or_Rejected__Word_length,I wrote well on the tablet,Delta_Social,0.31718895674602315,0.21477881482434874,-
Accepted_or_Rejected__Word_length,I wrote well on the tablet,Delta_Task,0.04203765759401384,0.8684568159345588,-
Accepted_or_Rejected__Word_length,I wrote well on the tablet,Social,0.4639431909078304,0.0606670151781974,-
Accepted_or_Rejected__Word_length,I wrote well on the tablet,Task,0.2777181987808641,0.26450828345452143,-
Answer_Time__Nothing,AverageResponses,Baseline,-0.17527244996307967,0.3138911420806142,-
Answer_Time__Nothing,AverageResponses,Delta_Social,0.011077025851225504,0.9663441547041804,-
Answer_Time__Nothing,AverageResponses,Delta_Task,-0.7168994646504879,0.0008137895551761753,***
Answer_Time__Nothing,AverageResponses,Social,-0.285717752426482,0.2662717569685202,-
Answer_Time__Nothing,AverageResponses,Task,-0.3838605702479398,0.11580826319019562,-
Answer_Time__Nothing,I enjoyed teaching Blueberry how to write in a group,Baseline,-0.09449762657743437,0.589222612703115,-
Answer_Time__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Social",0.08656239293352659,0.7411421583052396,-
Answer_Time__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Task",-0.2849549041962397,0.25174150416441654,-
Answer_Time__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Social,0.05992781049244148,0.8192789541894689,-
Answer_Time__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Task,-0.35161866618710313,0.15246904109162096,-
Answer_Time__Nothing,I enjoyed teaching Blueberry how to write in a group,Social,-0.20871733771961853,0.4214388196486757,-
Answer_Time__Nothing,I enjoyed teaching Blueberry how to write in a group,Task,-0.17385092967852253,0.490246169545561,-
Answer_Time__Nothing,I enjoyed writing on the tablet,Baseline,0.12208183222695076,0.4847796027512943,-
Answer_Time__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Social",0.25671801540513517,0.31990509629797187,-
Answer_Time__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Task",-0.1022199413454573,0.6865010272445284,-
Answer_Time__Nothing,I enjoyed writing on the tablet,Delta_Social,0.24504901470490176,0.3431462655913279,-
Answer_Time__Nothing,I enjoyed writing on the tablet,Delta_Task,-0.2044398826909146,0.41579141308263934,-
Answer_Time__Nothing,I enjoyed writing on the tablet,Social,-0.10206207261596575,0.696699244080777,-
Answer_Time__Nothing,I enjoyed writing on the tablet,Task,-0.07012230125638468,0.7821751087521553,-
Answer_Time__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Baseline,0.1867275359327644,0.2827970179268152,-
Answer_Time__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Social",-0.027637106921605457,0.9161453887384104,-
Answer_Time__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Task",0.2569970264812942,0.3032485423360842,-
Answer_Time__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Social,-0.11791832286551662,0.6521805886591143,-
Answer_Time__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Task,0.19274776986097067,0.4435096975435413,-
Answer_Time__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Social,-0.35882177153217754,0.1572466038497123,-
Answer_Time__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Task,-0.13794693333187114,0.5851594436380839,-
Answer_Time__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Baseline,-0.165653549784216,0.3415939807953723,-
Answer_Time__Nothing,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Social",-0.1313997857891697,0.6151771786776568,-
Answer_Time__Nothing,I found it easy to teach Blueberry how to write with a group of friends,"Delta Logs, Delta_Task",-0.3555320379556156,0.14764095183655848,-
Answer_Time__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Delta_Social,-0.09185227744485648,0.7258792092436315,-
Answer_Time__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Delta_Task,-0.6045131899184167,0.007874026397802058,**
Answer_Time__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Social,0.0,1.0,-
Answer_Time__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Task,-0.39768313723632004,0.10218990746196988,-
Answer_Time__Nothing,I think I helped the group teach Blueberry how to write,Baseline,-0.20432350410264738,0.2390497909359359,-
Answer_Time__Nothing,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Social",-0.12785412609655133,0.6248290274261035,-
Answer_Time__Nothing,I think I helped the group teach Blueberry how to write,"Delta Logs, Delta_Task",-0.4277330798292829,0.076615214343998,-
Answer_Time__Nothing,I think I helped the group teach Blueberry how to write,Delta_Social,0.15916534065080884,0.5417432585241151,-
Answer_Time__Nothing,I think I helped the group teach Blueberry how to write,Delta_Task,-0.4481013217259153,0.06218903098216538,-
Answer_Time__Nothing,I think I helped the group teach Blueberry how to write,Social,-0.41249800036080064,0.0998756083330342,-
Answer_Time__Nothing,I think I helped the group teach Blueberry how to write,Task,0.0,1.0,-
Answer_Time__Nothing,I think the robot was a good student,Baseline,-0.06931627101613876,0.6923528673557016,-
Answer_Time__Nothing,I think the robot was a good student,"Delta Logs, Delta_Social",-0.3222957057501712,0.20707943259886036,-
